期间:2024年第9期,,,,币别:人民币,,公司:南宁产投智创科电投资开发有限责任公司,,包含未过账凭证,,,
科目代码,科目名称,年初余额,年初余额,期初余额,期初余额,本期发生额,本期发生额,本年累计,本年累计,期末余额,期末余额
科目代码,科目名称,借方,贷方,借方,贷方,借方,贷方,借方,贷方,借方,贷方
1122.02.02,应收账款　_集团外_销售款,78502.62,,42204.62,,655013.07,655013.07,2865627.49,2901925.49,42204.62,
1122.02.02.01,应收账款　_集团外_销售款_供应链贸易,,,,,,,,,,
1122.02.02.02,应收账款　_集团外_销售款_混凝土销售,,,,,,,,,,
1122.02.02.03,应收账款　_集团外_销售款_涂料销售,,,,,,,,,,
1122.02.02.04,应收账款　_集团外_销售款_商超,78502.62,,42204.62,,655013.07,655013.07,2865627.49,2901925.49,42204.62,
1122.02.03,应收账款　_集团外_管理费,,,,,,,,,,
1122.02.04,应收账款　_集团外_售房款,,,,,,,,,,
1122.02.05,应收账款　_集团外_物业费,,,,,,,,,,
1122.02.06,应收账款　_集团外_水费,,,,,,,,,,
1122.02.07,应收账款　_集团外_电费,,,,,,,,,,
1122.02.07.01,应收账款　_集团外_电费_电费收入,,,,,,,,,,
1122.02.07.02,应收账款　_集团外_电费_光伏电费收入,,,,,,,,,,
1122.02.07.03,应收账款　_集团外_电费_购售电收入,,,,,,,,,,
1122.02.07.04,应收账款　_集团外_电费_充电桩收入,,,,,,,,,,
1122.02.07.05,应收账款　_集团外_电费_储能收入,,,,,,,,,,
1122.02.08,应收账款　_集团外_餐饮收入,,,,,,,,,,
1122.02.09,应收账款　_集团外_工程款,,,,,,,,,,
1122.02.11,应收账款　_集团外_现代服务,,,,,,,,,,
1122.02.11.01,应收账款　_集团外_现代服务_体育赛事收入,,,,,,,,,,
1122.02.11.02,应收账款　_集团外_现代服务_停车费,,,,,,,,,,
1122.02.98,应收账款　_集团外_暂估应收款,,,,,,,,,,
1122.02.99,应收账款　_集团外_其他,,,,,,,,,,
1123,预付账款,,45858638.19,,52534796.23,2817765.93,2137983.01,177963679.2,183960054.32,,51855013.31
1123.01,预付账款_集团内,,308259.68,,691287.87,691287.87,,707576.42,399316.74,,
1123.01.01,预付账款_集团内_工程款,,308259.68,,691287.87,691287.87,,707576.42,399316.74,,
1123.01.01.01,预付账款_集团内_工程款_预付工程款,,308259.68,,691287.87,691287.87,,707576.42,399316.74,,
1123.01.01.02,预付账款_集团内_工程款_暂估预付工程款,,,,,,,,,,
1123.01.02,预付账款_集团内_材料采购款,,,,,,,,,,
1123.01.03,预付账款_集团内_工程材料款,,,,,,,,,,
1123.01.04,预付账款_集团内_设备款,,,,,,,,,,
1123.01.05,预付账款_集团内_水费,,,,,,,,,,
1123.01.06,预付账款_集团内_电费,,,,,,,,,,
1123.01.07,预付账款_集团内_购房款,,,,,,,,,,
1123.01.99,预付账款_集团内_其他,,,,,,,,,,
1123.02,预付账款_集团外,,45550378.51,,51843508.36,2126478.06,2137983.01,177256102.78,183560737.58,,51855013.31
1123.02.01,预付账款_集团外_工程款,,45550378.51,,51843508.36,2126478.06,2137983.01,177256102.78,183560737.58,,51855013.31
1123.02.01.01,预付账款_集团外_工程款_预付工程款,,45550378.51,,9992866.84,2126478.06,2137983.01,177256102.78,141710096.06,,10004371.79
1123.02.01.02,预付账款_集团外_工程款_暂估预付工程款,,,,41850641.52,,,,41850641.52,,41850641.52
1123.02.02,预付账款_集团外_材料采购款,,,,,,,,,,
1123.02.03,预付账款_集团外_工程材料款,,,,,,,,,,
1123.02.04,预付账款_集团外_设备款,,,,,,,,,,
1123.02.05,预付账款_集团外_水费,,,,,,,,,,
1123.02.06,预付账款_集团外_电费,,,,,,,,,,
1123.02.07,预付账款_集团外_购房款,,,,,,,,,,
1123.02.99,预付账款_集团外_其他,,,,,,,,,,
1124,应收款项融资,,,,,,,,,,
1124.01,应收款项融资_应收账款,,,,,,,,,,
1124.02,应收款项融资_应收票据　,,,,,,,,,,
1131,应收股利　,,,,,,,,,,
1132,应收利息　,,,,,,,,,,
1132.01,应收利息　_集团内,,,,,,,,,,
1132.01.01,应收利息　_集团内_债券利息,,,,,,,,,,
1132.01.02,应收利息　_集团内_借款利息,,,,,,,,,,
1132.01.99,应收利息　_集团内_其他,,,,,,,,,,
1132.02,应收利息　_集团外,,,,,,,,,,
1132.02.01,应收利息　_集团外_债券利息,,,,,,,,,,
1132.02.02,应收利息　_集团外_借款利息,,,,,,,,,,
1132.02.99,应收利息　_集团外_其他,,,,,,,,,,
1221,其他应收款　,,3900000,,8163941.78,510.35,45000,36726.76,4345158.19,,8208431.43
1221.01,其他应收款　_集团内,,3900000,,8163941.78,,45000,36216.41,4345158.19,,8208941.78
1221.01.01,其他应收款　_集团内_保证金,,,,,,,,,,
1221.01.01.01,其他应收款　_集团内_保证金_投标保证金,,,,,,,,,,
1221.01.01.02,其他应收款　_集团内_保证金_履约保证金,,,,,,,,,,
1221.01.01.03,其他应收款　_集团内_保证金_其他保证金,,,,,,,,,,
1221.01.02,其他应收款　_集团内_押金,,,,,,,,,,
1221.01.03,其他应收款　_集团内_职员往来,,,,,,,,,,
1221.01.04,其他应收款　_集团内_经营往来,,3900000,,8163000,,45000,36216.41,4344216.41,,8208000
1221.01.05,其他应收款　_集团内_成员单位借款,,,,,,,,,,
1221.01.05.01,其他应收款　_集团内_成员单位借款_借款本金,,,,,,,,,,
1221.01.05.02,其他应收款　_集团内_成员单位借款_借款利息,,,,,,,,,,
1221.01.06,其他应收款　_集团内_代垫款项,,,,941.78,,,,941.78,,941.78
1221.01.98,其他应收款　_集团内_上存资金中心,,,,,,,,,,
1221.01.99,其他应收款　_集团内_其他,,,,,,,,,,
1221.02,其他应收款　_集团外,,,,,510.35,,510.35,,510.35,
1221.02.01,其他应收款　_集团外_保证金,,,,,,,,,,
1221.02.01.01,其他应收款　_集团外_保证金_投标保证金,,,,,,,,,,
1221.02.01.02,其他应收款　_集团外_保证金_履约保证金,,,,,,,,,,
1221.02.01.03,其他应收款　_集团外_保证金_其他保证金,,,,,,,,,,
1221.02.02,其他应收款　_集团外_押金,,,,,,,,,,
1221.02.03,其他应收款　_集团外_经营往来,,,,,,,,,,
